amount_inr,hour_of_day,is_new_recipient,tx_count_last_24h,wallet_age_days,amount_deviation_ratio,is_structured_amount,is_fraud
949.78,13,0,1,43.0,0.37,0,0
3333.03,21,0,1,222.0,5.52,0,0
936.99,17,0,0,52.0,0.7,0,0
2196.92,5,1,1,31.0,1.09,0,1
1883.74,17,0,4,91.0,2.03,0,1
1005.82,19,1,2,17.0,0.35,0,1
12450.92,15,0,2,192.0,5.82,0,0
3198.79,14,1,2,137.0,1.4,0,0
292.18,15,1,0,177.0,0.24,0,0
2138.39,7,0,2,61.0,2.66,0,0
996.64,12,1,2,216.0,0.32,0,0
3893.99,22,0,1,82.0,0.91,0,0
886.01,10,1,0,12.0,0.32,0,0
1630.66,6,0,0,30.0,0.65,0,0
2848.33,16,0,2,149.0,1.85,0,0
3940.96,17,0,1,272.0,4.07,0,0
613.84,21,0,2,12.0,0.27,0,0
1338.02,22,0,2,240.0,1.32,0,0
1179.15,18,0,0,193.0,0.44,0,1
1004.26,12,0,0,53.0,0.58,0,0
8856.52,14,0,2,140.0,14.51,0,1
2603.17,22,0,0,25.0,1.7,0,0
581.26,21,1,1,201.0,0.83,0,0
4130.18,21,1,0,129.0,6.43,0,1
12209.15,0,1,2,69.0,31.16,0,0
4578.92,15,0,2,240.0,6.95,0,0
460.62,4,0,4,18.0,0.64,0,0
1169.33,2,1,1,224.0,0.37,0,0
5654.57,22,1,0,3.0,2.71,0,0
956.32,9,1,1,168.0,0.19,0,0
2695.77,18,0,1,102.0,2.05,0,1
3630.66,4,0,3,143.0,5.33,0,1
785.06,6,1,2,64.0,0.53,0,0
1713.73,13,0,2,240.0,1.49,0,0
97.79,2,0,1,45.0,0.05,0,0
719.14,12,1,1,39.0,1.14,0,0
1440.42,12,0,0,43.0,0.95,0,0
588.16,9,0,1,179.0,0.18,0,0
7857.08,1,0,3,82.0,2.34,0,0
499.13,5,1,1,92.0,0.17,0,0
1216.78,7,0,1,214.0,0.59,0,0
2033.81,3,1,0,215.0,0.78,0,1
6615.34,11,0,2,21.0,4.57,0,0
496.57,14,0,0,96.0,0.26,0,0
5150.49,7,0,1,16.0,3.76,0,0
1824.77,6,0,0,243.0,1.71,0,0
747.43,13,0,1,218.0,0.43,0,0
2740.49,22,0,2,227.0,0.67,0,0
2162.79,18,0,0,146.0,1.24,0,0
1053.43,13,0,0,75.0,0.53,0,1
1925.27,21,0,0,62.0,0.82,0,0
1278.21,12,1,0,60.0,0.71,0,0
2002.53,20,0,0,8.0,1.54,0,0
3281.05,0,0,1,357.0,1.39,0,0
7535.76,18,0,1,72.0,7.9,0,1
593.46,0,0,0,319.0,0.2,0,0
12329.25,3,0,1,254.0,3.91,0,0
312.04,9,0,1,212.0,0.22,0,0
1577.18,2,0,0,106.0,1.59,0,1
3070.16,19,1,1,13.0,0.58,0,1
2328.3,8,1,2,47.0,2.4,0,1
1032.33,2,1,1,111.0,0.83,0,0
1499.2,5,0,0,2.0,3.38,0,0
1160.14,5,0,0,5.0,0.34,0,0
1063.77,22,0,3,136.0,1.7,0,0
3884.08,11,0,0,263.0,1.96,0,0
2493.18,22,0,4,232.0,1.4,0,1
969.11,0,0,0,22.0,0.69,0,0
4062.85,15,1,0,291.0,3.8,0,0
2384.08,23,0,3,143.0,1.24,0,0
3757.75,4,0,0,151.0,0.89,0,0
3186.46,8,0,2,43.0,2.51,0,0
857.4,9,0,2,151.0,1.56,0,0
1092.08,12,1,2,148.0,2.19,0,0
3542.42,14,0,1,108.0,2.68,0,0
3131.71,11,0,1,53.0,2.78,0,0
1774.35,4,0,2,200.0,1.33,0,0
2009.41,4,0,0,333.0,1.14,0,1
5709.57,17,0,2,245.0,5.16,0,0
1061.66,11,1,0,33.0,0.14,0,0
2958.35,2,1,2,71.0,1.59,0,1
1507.23,6,0,2,50.0,0.59,0,0
1486.36,16,0,1,148.0,1.1,0,0
4860.51,18,0,0,214.0,3.59,0,0
3800.45,17,0,0,29.0,3.67,0,0
3759.94,0,1,2,353.0,2.43,0,1
5854.3,23,0,0,136.0,9.87,0,0
1842.55,4,1,0,30.0,3.26,0,1
3340.11,1,0,1,56.0,3.27,0,0
1367.53,0,0,1,13.0,1.63,0,0
2420.55,6,0,1,109.0,2.37,0,0
1608.2,10,0,1,22.0,1.33,0,0
1972.97,10,0,2,142.0,1.59,0,0
3089.12,17,0,1,160.0,1.28,0,0
865.75,16,0,0,78.0,0.37,0,0
11886.38,1,0,0,12.0,8.17,0,1
731.12,6,0,2,113.0,0.15,0,0
606.21,6,0,1,56.0,0.54,0,0
5127.12,9,0,1,359.0,2.1,0,0
3686.73,21,0,0,86.0,1.84,0,0
3170.7,20,0,2,9.0,2.44,0,1
3182.78,2,0,2,121.0,2.32,0,0
1788.22,11,1,1,181.0,1.57,0,0
806.31,2,0,0,21.0,0.35,0,0
1935.7,10,0,0,72.0,0.62,0,0
982.95,11,0,0,163.0,0.65,0,0
4348.59,3,1,2,2.0,9.01,0,1
1583.9,15,0,0,4.0,0.77,0,0
860.1,19,0,1,136.0,0.65,0,0
1353.91,17,0,1,155.0,1.72,0,0
2621.86,3,1,3,224.0,1.69,0,0
1088.6,21,0,1,61.0,0.91,0,0
862.64,5,0,0,59.0,1.13,0,0
2251.42,20,1,3,96.0,1.74,0,1
2254.02,14,1,1,170.0,0.65,0,0
1145.68,0,0,0,123.0,0.71,0,0
1183.3,2,0,0,48.0,0.79,0,0
2227.97,4,0,2,51.0,1.15,0,0
491.14,21,1,0,173.0,0.29,0,0
509.42,16,0,0,92.0,0.41,0,0
947.1,13,0,1,12.0,0.57,0,0
1492.04,8,0,3,20.0,0.96,0,0
2391.84,2,0,1,229.0,5.86,0,0
6821.4,12,0,3,807.0,3.35,0,0
3912.35,2,0,0,49.0,2.57,0,0
1565.65,10,0,0,59.0,0.76,0,0
1777.36,1,0,2,20.0,1.21,0,0
733.42,23,0,0,32.0,0.61,0,0
1778.17,14,1,2,66.0,2.13,0,0
1394.38,12,1,1,40.0,0.86,0,1
2417.4,18,0,1,145.0,1.49,0,0
858.76,21,0,2,93.0,0.26,0,0
2885.38,15,0,1,207.0,2.6,0,0
7182.95,17,0,2,155.0,2.54,0,0
1639.45,6,0,0,16.0,0.69,0,0
2595.52,12,0,1,16.0,2.78,0,0
3364.82,3,0,1,271.0,5.21,0,0
1260.04,8,0,3,205.0,0.46,0,0
2212.07,9,1,0,76.0,1.13,0,0
1828.65,8,1,0,17.0,0.75,0,1
1974.18,6,0,1,275.0,1.22,0,0
901.71,14,0,1,31.0,1.13,0,0
1848.37,7,0,1,4.0,1.12,0,0
2830.47,18,0,0,310.0,1.29,0,0
6674.36,10,0,3,199.0,17.15,0,1
4287.01,4,0,1,142.0,2.17,0,0
12554.87,1,1,2,4.0,5.16,0,1
906.32,9,0,2,90.0,0.35,0,0
3964.32,15,1,0,127.0,2.04,0,0
2132.41,22,0,0,171.0,1.85,0,0
12975.56,12,0,0,76.0,9.11,0,1
873.52,7,0,0,368.0,1.43,0,0
849.16,8,0,3,34.0,0.31,0,0
1054.21,10,1,0,9.0,0.44,0,0
267.33,10,0,3,49.0,0.22,0,1
1126.44,22,0,1,130.0,0.53,0,0
913.04,15,0,1,160.0,0.42,0,0
2070.1,9,0,1,161.0,2.7,0,0
2459.17,23,0,0,14.0,0.49,0,0
9784.49,11,0,1,260.0,10.94,0,0
4253.01,5,1,2,40.0,10.25,0,1
1075.76,11,0,1,28.0,0.57,0,0
805.47,9,0,2,114.0,0.44,0,0
2815.03,17,0,2,29.0,2.41,0,0
551.03,17,0,1,85.0,0.33,0,0
9398.57,3,0,0,63.0,10.17,0,1
5226.49,8,1,3,32.0,9.83,0,1
1185.29,6,0,3,41.0,0.45,0,0
386.9,17,0,2,67.0,0.22,0,0
6114.91,7,0,1,51.0,5.16,0,0
1630.94,10,1,1,58.0,0.39,0,0
5508.43,6,1,1,160.0,4.44,0,0
430.53,8,0,0,22.0,0.2,0,0
1054.23,7,0,3,119.0,1.28,0,0
1816.6,2,0,1,136.0,4.61,0,0
1886.13,16,1,2,194.0,0.88,0,1
1205.85,1,0,1,226.0,0.57,0,0
3167.08,14,0,4,21.0,0.68,0,0
691.69,13,0,1,18.0,0.92,0,0
1590.59,17,0,0,114.0,2.94,0,0
2014.78,15,0,0,170.0,1.97,0,0
2872.66,19,1,3,38.0,1.39,0,1
3430.47,21,0,0,90.0,8.62,0,0
657.09,3,1,1,178.0,0.42,0,1
454.55,19,0,1,175.0,0.41,0,1
5709.63,5,1,2,127.0,4.9,0,1
2438.36,5,1,3,10.0,2.79,0,0
921.83,10,0,2,6.0,0.32,0,0
7302.97,16,1,1,59.0,12.84,0,0
2006.42,23,0,2,3.0,0.77,0,0
5225.82,2,0,3,281.0,2.64,0,0
1921.32,12,0,0,2.0,1.73,0,1
11552.68,21,1,1,4.0,3.1,0,0
8776.27,2,1,2,22.0,18.4,0,0
1445.1,15,0,4,118.0,0.54,0,0
4334.73,14,0,0,94.0,5.67,0,0
3231.94,10,0,0,129.0,2.87,0,0
6196.68,17,1,1,269.0,3.47,0,1
758.67,14,0,2,73.0,0.27,0,0
3352.45,4,0,3,5.0,4.02,0,1
4687.16,15,0,1,173.0,2.25,0,0
371.35,15,0,0,201.0,0.33,0,0
623.32,16,0,2,6.0,0.7,0,0
288.5,8,0,2,33.0,0.52,0,0
1418.75,22,0,0,177.0,1.2,0,0
3448.82,2,1,0,57.0,5.02,0,1
6989.2,19,0,0,77.0,9.83,0,0
1932.72,12,1,1,208.0,1.75,0,1
7830.28,21,0,2,12.0,6.1,0,0
522.13,2,0,0,136.0,0.49,0,0
390.32,6,0,1,29.0,0.25,0,0
1719.88,5,1,4,8.0,0.42,0,0
2554.62,8,1,2,130.0,2.58,0,0
1755.62,11,0,2,16.0,2.03,0,0
281.27,14,0,3,165.0,0.33,0,0
1668.69,20,0,0,27.0,6.0,0,0
558.9,19,0,1,6.0,0.55,0,0
3303.39,2,1,2,13.0,0.77,0,0
2514.77,9,0,1,221.0,1.63,0,0
775.97,0,0,1,56.0,0.67,0,0
1138.56,18,0,1,43.0,0.56,0,0
696.95,18,1,1,81.0,0.61,0,1
1708.87,22,0,0,120.0,0.55,0,0
4271.11,22,0,2,5.0,3.11,0,0
744.6,12,0,2,274.0,0.22,0,0
2845.92,11,0,0,382.0,1.64,0,1
1121.89,0,0,0,65.0,0.55,0,0
885.73,18,1,1,64.0,0.66,0,1
1642.0,23,0,0,253.0,0.62,0,0
712.15,15,0,1,67.0,0.17,0,0
1098.52,22,0,1,233.0,0.54,0,0
615.18,22,0,1,3.0,0.46,0,0
10596.22,14,0,0,81.0,3.99,0,0
1866.34,15,0,1,365.0,1.67,0,0
963.19,10,0,2,35.0,0.28,0,0
2192.03,23,0,0,37.0,2.01,0,0
1634.19,5,0,0,119.0,1.15,0,0
1481.97,10,0,2,313.0,0.59,0,0
3142.42,2,0,2,27.0,7.24,0,0
3575.13,14,0,1,306.0,2.0,0,0
1121.64,0,0,1,131.0,0.69,0,0
1076.82,6,0,0,596.0,0.96,0,0
1411.56,0,0,2,160.0,1.16,0,0
227.76,16,0,1,132.0,0.26,0,0
462.35,8,1,1,202.0,0.56,0,0
6186.88,22,0,1,23.0,5.36,0,0
7946.37,12,0,1,350.0,9.76,0,0
1445.0,10,0,2,22.0,0.72,0,0
3037.84,19,0,1,3.0,3.16,0,0
2392.57,5,1,0,144.0,1.0,0,1
28882.55,0,0,1,24.0,34.43,0,0
4952.35,6,0,1,171.0,7.25,0,0
1611.43,11,0,1,190.0,1.24,0,0
765.11,21,0,2,32.0,1.04,0,0
425.9,19,0,2,11.0,0.31,0,0
2171.38,22,0,1,83.0,2.35,0,0
915.33,18,0,0,265.0,1.32,0,0
502.69,16,0,1,226.0,0.72,0,0
1010.38,3,0,2,15.0,0.34,0,0
683.08,2,1,0,402.0,0.3,0,0
8253.79,0,0,0,37.0,12.24,0,0
3997.71,17,0,1,52.0,4.35,0,1
1795.12,20,0,1,19.0,0.5,0,0
6849.63,14,0,3,57.0,4.71,0,0
1938.43,7,0,1,121.0,1.61,0,0
832.84,0,0,1,85.0,0.53,0,0
7121.06,19,1,2,211.0,4.11,0,1
2936.63,13,0,1,123.0,2.0,0,0
710.86,3,0,1,37.0,0.78,0,0
1523.39,4,1,3,98.0,3.39,0,1
822.17,22,0,0,8.0,0.56,0,0
520.86,12,0,2,104.0,1.07,0,0
4161.2,23,1,0,59.0,3.77,0,0
10081.68,14,0,0,12.0,10.09,0,0
513.52,5,0,2,44.0,0.54,0,0
3000.91,0,0,0,274.0,1.57,0,0
1006.69,22,0,1,106.0,0.77,0,0
1166.29,18,0,2,280.0,0.59,0,0
1060.87,12,0,2,63.0,2.11,0,0
830.82,5,0,1,463.0,0.36,0,0
1888.75,14,0,1,54.0,0.73,0,0
855.89,15,1,1,170.0,0.6,0,0
2306.33,23,0,0,44.0,0.49,0,0
1728.11,22,1,3,13.0,0.78,0,1
1458.18,15,1,0,215.0,1.01,0,1
798.87,9,1,1,173.0,0.23,0,0
1075.89,21,1,2,206.0,0.69,0,0
3568.33,8,0,3,43.0,4.2,0,1
2837.92,8,1,0,146.0,1.18,0,0
750.1,16,0,1,30.0,0.2,0,0
1977.13,16,0,0,1.0,3.35,0,1
3555.49,16,1,2,242.0,3.17,0,0
402.44,23,0,1,89.0,0.37,0,0
2948.42,11,1,1,494.0,4.28,0,1
995.89,12,1,2,58.0,0.8,0,0
3021.59,11,0,3,377.0,3.26,0,0
909.66,13,1,2,115.0,0.48,0,0
356.24,9,0,2,86.0,0.18,0,0
417.89,22,0,0,43.0,0.26,0,0
1888.01,18,0,2,209.0,1.12,0,0
2284.15,1,0,3,212.0,0.63,0,0
801.2,3,0,3,65.0,0.16,0,1
3212.27,18,0,1,156.0,1.51,0,1
405.3,6,0,1,71.0,0.37,0,0
1703.65,14,1,1,161.0,0.97,0,0
607.95,14,0,0,618.0,0.4,0,0
1005.61,23,0,1,37.0,0.45,0,0
1886.84,5,0,3,121.0,2.17,0,0
833.5,2,1,3,57.0,0.36,0,1
1279.08,5,1,1,95.0,0.82,0,0
4472.32,15,0,1,249.0,3.18,0,0
1075.78,1,0,0,51.0,0.75,0,0
3835.76,6,1,2,9.0,1.15,0,1
654.1,10,0,0,192.0,0.09,0,0
2912.67,6,0,0,97.0,1.83,0,0
6617.1,3,0,2,72.0,6.93,0,0
195.49,23,0,1,24.0,0.13,0,0
882.53,19,1,1,12.0,0.5,0,0
3039.25,6,0,0,39.0,1.86,0,0
1506.07,3,0,0,152.0,0.92,0,0
2525.09,11,0,0,64.0,1.9,0,1
1049.86,4,1,0,101.0,0.32,0,0
1954.58,22,1,1,10.0,1.55,0,0
1571.66,18,0,0,16.0,0.66,0,0
5171.94,4,0,0,1.0,8.65,0,1
2273.28,18,0,3,134.0,2.16,0,0
2450.0,20,1,0,37.0,1.39,0,0
1248.02,2,0,0,409.0,0.86,0,0
1165.79,10,1,1,44.0,0.38,0,0
1225.0,6,0,3,54.0,0.7,0,1
2578.61,16,0,0,76.0,0.79,0,0
1237.83,8,0,0,46.0,0.62,0,0
2346.78,20,1,1,204.0,2.59,0,1
11706.05,8,1,2,251.0,8.88,0,1
3960.05,9,0,0,1.0,2.89,0,1
1348.27,12,0,2,128.0,0.42,0,0
5329.93,14,1,0,139.0,4.18,0,1
1252.29,21,0,0,391.0,0.92,0,0
288.79,4,1,1,56.0,0.25,0,0
729.76,2,0,2,26.0,0.46,0,0
335.72,7,0,1,88.0,0.15,0,0
1317.69,19,0,1,71.0,0.58,0,0
1838.26,9,0,0,188.0,1.5,0,0
8174.65,12,0,0,281.0,18.35,0,0
2426.57,2,0,1,11.0,1.39,0,0
1484.46,21,0,0,225.0,0.94,0,0
3814.12,7,0,1,288.0,2.35,0,0
247.15,8,0,3,309.0,0.17,0,0
2235.13,21,1,0,173.0,1.26,0,0
3618.37,20,0,2,163.0,8.19,0,0
477.84,11,0,2,2.0,0.3,0,0
5061.3,10,0,1,303.0,6.21,0,0
2451.97,1,0,2,52.0,0.81,0,0
1244.19,17,1,2,5.0,0.78,0,0
3195.52,8,0,0,64.0,3.33,0,0
13955.42,1,1,2,158.0,19.16,0,0
2129.58,1,0,0,70.0,2.4,0,0
2260.63,2,0,1,170.0,2.25,0,0
1195.81,15,0,0,85.0,0.79,0,0
841.46,18,1,2,43.0,1.16,0,1
3817.31,3,1,0,27.0,2.23,0,0
836.75,22,0,2,66.0,0.31,0,0
1928.33,17,1,0,4.0,0.67,0,0
1176.28,19,0,2,66.0,1.0,0,0
2782.44,17,1,0,9.0,1.91,0,1
2441.32,9,0,1,251.0,2.45,0,0
4599.88,10,0,0,103.0,6.41,0,0
1142.51,16,0,0,125.0,1.07,0,0
1418.16,23,1,0,41.0,2.83,0,0
749.28,22,1,1,31.0,1.66,0,0
1212.13,23,1,2,148.0,0.68,0,1
2539.11,19,1,1,134.0,1.47,0,0
3573.46,15,0,2,16.0,1.16,0,0
788.44,19,1,2,33.0,0.23,0,0
3954.64,12,1,1,352.0,2.4,0,0
6124.63,1,0,0,44.0,7.29,0,0
2623.05,23,0,1,3.0,3.13,0,0
9790.0,1,0,1,8.0,12.34,0,1
901.08,13,1,1,179.0,0.52,0,0
589.82,3,1,0,170.0,0.63,0,0
364.73,16,1,2,58.0,0.57,0,0
6949.6,12,1,1,20.0,3.65,0,0
